保存日期:2026.7.13,标定数据版本号,D4AYA-SFB8-300-E0-170719
Time,ESPD_Value(rpm),Cy_judge_OK(),APP_Value(%),APP_Trq_Pct(%),Trq_Tgt_Pct(%),TPS_Tgt(%),TPS_Value(%),TIP_Tgt(kPa),TIP_Value(kPa),MAP_Value(kPa),WGV_PWM_DuCy(%),Air_Flow(kg/h),Fuel_Flow(kg/h),Fuel_In(mg/Inj),Lam_Tgt(),Lam_Value(),LamCL_Mult(%),LamAL_Mult(%),Inj_PW(ms),Spk_Adv(CAD),NGP_Value(kPa)
保存时间,发动机转速(rpm),判缸成功标志(),油门开度(%),油门扭矩百分比(%),最终扭矩百分比(%),节气门开度目标(%),节气门开度(%),增压压力目标(kPa),增压压力(kPa),进气歧管压力(kPa),废气旁通控制阀占空比(%),空气质量流量(kg/h),燃气质量流量(kg/h),一组喷嘴一次喷射质量(mg/Inj),过量空气系数目标(),过量空气系数(),空燃比闭环喷射量补偿(%),空燃比自适应喷射量补偿(%),燃气喷射脉宽(ms),点火提前角(CAD),喷嘴前燃气压力(kPa)
4.426s,623,1,99.7,100.00,100.00,63.94,63.65,116.64,102.85,103.40,100.0,77.508,4.176,53.45,1.096,1.073,0.0,-0.5,10.706,12.21,584.8
4.480s,623,1,99.7,100.00,100.00,63.94,63.65,116.64,102.85,103.40,100.0,77.508,4.176,53.45,1.096,1.073,0.0,-0.5,10.858,12.47,584.8
4.534s,651,1,99.7,100.00,100.00,63.94,63.65,116.64,102.85,103.40,100.0,77.508,4.176,53.45,1.096,1.073,0.0,-0.5,10.858,12.47,589.1
4.588s,651,1,99.7,100.00,100.00,64.66,63.65,116.64,102.85,103.40,100.0,77.508,4.176,53.45,1.096,1.073,0.0,-0.5,10.858,12.47,589.1
4.642s,651,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.40,100.0,77.508,4.176,53.45,1.096,1.073,0.0,-0.5,10.858,12.47,589.1
4.696s,651,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.69,100.0,83.052,4.068,53.45,1.096,1.073,0.0,-0.5,10.858,12.47,589.1
4.750s,651,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.69,100.0,83.052,4.068,55.91,1.101,1.086,0.0,-0.5,10.858,12.47,589.1
4.804s,651,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.69,100.0,83.052,4.068,55.91,1.101,1.086,0.0,-0.5,10.210,12.66,589.1
4.858s,680,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.69,100.0,83.052,4.068,55.91,1.101,1.086,0.0,-0.5,10.210,12.66,591.0
4.912s,680,1,99.7,100.00,100.00,64.66,65.09,118.08,103.28,103.69,100.0,83.052,4.068,55.91,1.101,1.086,0.0,-0.5,10.210,12.66,591.0
4.966s,680,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,103.69,100.0,83.052,4.068,55.91,1.101,1.086,0.0,-0.5,10.210,12.66,591.0
5.020s,680,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,104.36,100.0,85.644,4.068,55.91,1.101,1.086,0.0,-0.5,10.210,12.66,591.0
5.074s,680,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,104.36,100.0,85.644,4.500,53.74,1.109,1.086,0.0,-0.5,10.210,12.66,591.0
5.128s,680,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,104.36,100.0,85.644,4.500,53.74,1.109,1.133,0.0,-0.5,10.131,12.66,591.0
5.182s,698,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,104.36,100.0,85.644,4.500,53.74,1.109,1.133,0.0,-0.5,10.131,12.84,590.0
5.236s,698,1,99.7,100.00,100.00,65.05,65.09,119.69,103.72,104.36,100.0,85.644,4.500,53.74,1.109,1.133,0.0,-0.5,10.131,12.84,590.0
5.290s,698,1,99.7,100.00,100.00,65.32,65.09,120.72,103.72,104.36,100.0,85.644,4.500,53.74,1.109,1.133,0.0,-0.5,10.131,12.84,590.0
5.344s,698,1,99.7,100.00,100.00,65.32,65.09,120.72,104.16,104.52,100.0,85.644,4.500,53.74,1.109,1.133,0.0,-0.5,10.131,12.84,590.0
5.398s,698,1,99.7,100.00,100.00,65.32,65.09,120.72,104.16,104.52,100.0,87.444,4.824,52.94,1.114,1.133,0.0,-0.5,10.131,12.84,590.0
5.452s,698,1,99.7,100.00,100.00,65.32,65.09,120.72,104.16,104.52,100.0,87.444,4.824,52.94,1.114,1.150,0.0,-0.5,10.131,12.84,590.0
5.506s,698,1,99.7,100.00,100.00,65.32,65.09,120.72,104.16,104.52,100.0,87.444,4.824,52.94,1.114,1.150,0.0,-0.5,10.478,13.01,587.2
5.560s,720,1,99.7,100.00,100.00,65.32,65.09,120.72,104.16,104.52,100.0,87.444,4.824,52.94,1.114,1.150,0.0,-0.5,10.478,13.01,587.2
5.614s,720,1,99.7,100.00,100.00,66.65,66.77,120.72,104.16,104.52,100.0,87.444,4.824,52.94,1.114,1.150,0.0,-0.5,10.478,13.01,587.2
5.668s,720,1,99.7,100.00,100.00,66.65,66.77,122.16,104.60,105.54,100.0,87.444,4.824,52.94,1.114,1.150,0.0,-0.5,10.478,13.01,587.2
5.722s,720,1,99.7,100.00,100.00,66.65,66.77,122.16,104.60,105.54,100.0,93.600,4.896,52.57,1.114,1.150,0.0,-0.5,10.478,13.01,587.2
5.776s,720,1,99.7,100.00,100.00,66.65,66.77,122.16,104.60,105.54,100.0,93.600,4.896,52.57,1.118,1.137,0.0,-0.5,10.478,13.01,587.2
5.830s,720,1,99.7,100.00,100.00,66.65,66.77,122.16,104.60,105.54,100.0,93.600,4.896,52.57,1.118,1.137,0.0,-0.5,10.600,13.22,583.5
5.884s,740,1,99.7,100.00,100.00,66.65,66.77,122.16,104.60,105.54,100.0,93.600,4.896,52.57,1.118,1.137,0.0,-0.5,10.600,13.22,583.5
5.938s,740,1,99.7,100.00,100.00,66.86,66.77,122.16,104.60,105.54,100.0,93.600,4.896,52.57,1.118,1.137,0.0,-0.5,10.600,13.22,583.5
5.992s,740,1,99.7,100.00,100.00,66.86,66.77,123.26,105.38,106.14,100.0,93.600,4.896,52.57,1.118,1.137,0.0,-0.5,10.600,13.22,583.5
6.046s,740,1,99.7,100.00,100.00,66.86,66.77,123.26,105.38,106.14,100.0,102.564,4.968,52.57,1.118,1.137,0.0,-0.5,10.600,13.22,583.5
6.100s,740,1,99.7,100.00,100.00,66.86,66.77,123.26,105.38,106.14,100.0,102.564,4.968,54.83,1.121,1.160,0.0,-0.5,10.600,13.22,583.5
6.154s,740,1,99.7,100.00,100.00,66.86,66.77,123.26,105.38,106.14,100.0,102.564,4.968,54.83,1.121,1.160,0.0,0.1,11.146,13.50,583.5
6.208s,764,1,99.7,100.00,100.00,66.86,66.77,123.26,105.38,106.14,100.0,102.564,4.968,54.83,1.121,1.160,0.0,0.1,11.146,13.50,580.6
